duration: 20, msg_len: 100, n_ranks: 1, iteration: 4, elapsed: 8.501371
duration: 20, msg_len: 100, n_ranks: 1, iteration: 5, elapsed: 8.525114
duration: 20, msg_len: 100, n_ranks: 2, iteration: 1, elapsed: 5.217843
duration: 20, msg_len: 100, n_ranks: 2, iteration: 2, elapsed: 5.233404
duration: 20, msg_len: 100, n_ranks: 2, iteration: 3, elapsed: 5.209553
duration: 20, msg_len: 100, n_ranks: 2, iteration: 4, elapsed: 5.203926
duration: 20, msg_len: 100, n_ranks: 2, iteration: 5, elapsed: 5.344919
duration: 20, msg_len: 100, n_ranks: 3, iteration: 1, elapsed: 6.058853
duration: 20, msg_len: 100, n_ranks: 3, iteration: 2, elapsed: 5.862520
duration: 20, msg_len: 100, n_ranks: 3, iteration: 3, elapsed: 5.778848
duration: 20, msg_len: 100, n_ranks: 3, iteration: 4, elapsed: 5.867176
duration: 20, msg_len: 100, n_ranks: 3, iteration: 5, elapsed: 5.807925
duration: 20, msg_len: 100, n_ranks: 4, iteration: 1, elapsed: 5.896997
duration: 20, msg_len: 100, n_ranks: 4, iteration: 2, elapsed: 5.575549
duration: 20, msg_len: 100, n_ranks: 4, iteration: 3, elapsed: 5.601226
duration: 20, msg_len: 100, n_ranks: 4, iteration: 4, elapsed: 5.535875
duration: 20, msg_len: 100, n_ranks: 4, iteration: 5, elapsed: 5.620790
duration: 20, msg_len: 1000, n_ranks: 1, iteration: 1, elapsed: 8.628950
duration: 20, msg_len: 1000, n_ranks: 1, iteration: 2, elapsed: 8.544875
duration: 20, msg_len: 1000, n_ranks: 1, iteration: 3, elapsed: 8.524175
duration: 20, msg_len: 1000, n_ranks: 1, iteration: 4, elapsed: 8.549247
duration: 20, msg_len: 1000, n_ranks: 1, iteration: 5, elapsed: 8.575508
duration: 20, msg_len: 1000, n_ranks: 2, iteration: 1, elapsed: 5.214912
duration: 20, msg_len: 1000, n_ranks: 2, iteration: 2, elapsed: 5.213051
duration: 20, msg_len: 1000, n_ranks: 2, iteration: 3, elapsed: 5.265534
duration: 20, msg_len: 1000, n_ranks: 2, iteration: 4, elapsed: 5.233899
duration: 20, msg_len: 1000, n_ranks: 2, iteration: 5, elapsed: 5.232669
duration: 20, msg_len: 1000, n_ranks: 3, iteration: 1, elapsed: 4.973190
duration: 20, msg_len: 1000, n_ranks: 3, iteration: 2, elapsed: 4.985633
duration: 20, msg_len: 1000, n_ranks: 3, iteration: 3, elapsed: 4.952437
duration: 20, msg_len: 1000, n_ranks: 3, iteration: 4, elapsed: 4.949219
duration: 20, msg_len: 1000, n_ranks: 3, iteration: 5, elapsed: 5.014427
duration: 20, msg_len: 1000, n_ranks: 4, iteration: 1, elapsed: 4.700889
duration: 20, msg_len: 1000, n_ranks: 4, iteration: 2, elapsed: 4.549483
duration: 20, msg_len: 1000, n_ranks: 4, iteration: 3, elapsed: 4.568082
